nmax,p,N,setup_s,numpy_rhs_self_s,numpy_rhs_cross_s,jax_compile_self_s,jax_compile_cross_s,jax_rhs_self_s,jax_rhs_cross_s,jax_integrate_compile_s,jax_integrate_steady_s,rhs_relerr_self,rhs_relerr_ab,rhs_relerr_ba,maxwell_relres_self,maxwell_relres_cross,cons_rate_n,cons_rate_P,cons_rate_W,lin_fd_best_relerr,lin_backend_relerr,numpy_integrate_s,jax_integrate_s,ok_maxwell,ok_conservation,ok_backend_consistency,wall_s
2,3,27,0.018711833050474524,0.019116135488729924,0.03808610426494852,0.0997254999820143,0.19471145793795586,8.356249115119378e-05,0.00015097918609778085,0.5376571658998728,0.024605915881693363,8.819398570997115e-14,5.0393031878952844e-14,2.7331513399566635e-14,7.222051723626516e-16,4.234881785675269e-16,0.0,1.2266347333466993e-18,1.6279837720956092e-15,3.712125517736734e-08,7.560322145042052e-16,6.8267172910273075,0.024605915881693363,True,True,True,8.464532250072807
3,4,64,0.019210875034332275,0.13691086473409086,0.2739027499919757,0.11285325000062585,0.20731770806014538,0.00029801383304099244,0.0005771319847553968,0.5992342920508236,0.0878270419780165,8.207737023870143e-14,1.590742302167274e-14,4.0235709428200556e-14,7.222051723626516e-16,4.3545424393042425e-16,0.0,3.927147295784615e-18,8.504392069036415e-12,4.3226575747368034e-08,1.411271536309088e-15,49.55864862492308,0.0878270419780165,True,True,True,54.60357620799914
4,5,125,0.02032754197716713,nan,nan,0.09194950014352798,0.17940616700798273,0.0005783263283471266,0.0011361111731578906,0.5770105000119656,0.1708130829501897,nan,nan,nan,7.424953623571588e-16,5.983757378111184e-16,0.0,2.4628339063450876e-18,4.7777122210747314e-11,nan,nan,nan,0.1708130829501897,True,True,True,1.0843952500727028
5,6,216,0.020476875128224492,nan,nan,0.09375308291055262,0.17846929095685482,0.0008527361399804553,0.0016684862008939187,0.6718905419111252,0.2634967500343919,nan,nan,nan,7.424953623571587e-16,6.001550719930599e-16,0.0,3.450761912075328e-18,3.256755160691016e-10,nan,nan,nan,0.2634967500343919,True,True,True,1.278957375092432
